Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 5.320832, 10.960000, 1.820852, 3.229000, 2.989815, 0.000000, 0.000000, 
20, 5.386608, 10.960000, 1.886628, 3.288796, 2.989815, -0.000000, 0.000000, 
20, 5.453580, 10.960000, 1.953600, 3.348592, 2.989815, 0.000000, 0.000000, 
20, 5.521747, 10.960000, 2.021767, 3.408389, 2.989815, -0.000000, 0.000000, 
20, 5.591111, 10.960000, 2.091131, 3.468185, 2.989815, 0.000000, 0.000000, 
20, 5.661671, 10.960000, 2.161691, 3.527981, 2.989815, -0.000000, 0.000000, 
20, 5.733426, 10.960000, 2.233446, 3.587778, 2.989815, 0.000000, 0.000000, 
20, 5.806378, 10.960000, 2.306398, 3.647574, 2.989815, -0.000000, 0.000000, 
20, 5.880525, 10.960000, 2.380545, 3.707370, 2.989815, 0.000000, 0.000000, 
20, 5.955868, 10.960000, 2.455888, 3.767167, 2.989815, 0.000000, 0.000000, 
20, 6.032408, 10.960000, 2.532428, 3.826963, 2.989815, 0.000000, 0.000000, 
20, 6.110143, 10.960000, 2.610163, 3.886759, 2.989815, -0.000000, 0.000000, 
20, 6.189074, 10.960000, 2.689094, 3.946555, 2.989815, 0.000000, 0.000000, 
20, 6.269201, 10.960000, 2.769221, 4.006352, 2.989815, -0.000000, 0.000000, 
20, 6.350524, 10.960000, 2.850544, 4.066148, 2.989815, 0.000000, 0.000000, 
20, 6.433043, 10.960000, 2.933063, 4.125944, 2.989815, 0.000000, 0.000000, 
20, 6.516758, 10.960000, 3.016778, 4.185741, 2.989815, 0.000000, 0.000000, 
20, 6.601668, 10.960000, 3.101688, 4.245537, 2.989815, -0.000000, 0.000000, 
20, 6.687775, 10.960000, 3.187795, 4.305333, 2.989815, 0.000000, 0.000000, 
20, 6.775078, 10.960000, 3.275098, 4.365129, 2.989815, 0.000000, 0.000000, 
20, 6.863576, 10.960000, 3.363596, 4.424926, 2.989815, 0.000000, 0.000000, 
20, 6.953271, 10.960000, 3.453291, 4.484722, 2.989815, -0.000000, 0.000000, 
20, 7.044161, 10.960000, 3.544181, 4.544518, 2.989815, 0.000000, 0.000000, 
20, 7.136247, 10.960000, 3.636267, 4.604315, 2.989815, 0.000000, 0.000000, 
20, 7.229530, 10.960000, 3.729549, 4.664111, 2.989815, -0.000000, 0.000000, 
20, 7.324008, 10.960000, 3.824028, 4.723907, 2.989815, 0.000000, 0.000000, 
20, 7.419682, 10.960000, 3.919702, 4.783704, 2.989815, 0.000000, 0.000000, 
20, 7.516552, 10.960000, 4.016572, 4.843500, 2.989815, 0.000000, 0.000000, 
20, 7.614618, 10.960000, 4.114638, 4.903296, 2.989815, -0.000000, 0.000000, 
20, 7.713880, 10.960000, 4.213899, 4.963092, 2.989815, 0.000000, 0.000000, 
20, 7.814317, 10.960000, 4.314337, 5.021892, 2.939984, -2.491512, 0.000000, 
20, 7.915891, 10.960000, 4.415911, 5.078699, 2.840324, -4.983025, 0.000000, 
20, 8.018562, 10.960000, 4.518581, 5.133512, 2.740663, -4.983025, 0.000000, 
20, 8.122288, 10.960000, 4.622308, 5.186332, 2.641003, -4.983025, 0.000000, 
20, 8.227031, 10.960000, 4.727051, 5.237159, 2.541342, -4.983025, 0.000000, 
20, 8.332751, 10.960000, 4.832771, 5.285992, 2.441682, -4.983025, 0.000000, 
20, 8.439408, 10.960000, 4.939428, 5.332833, 2.342022, -4.983025, 0.000000, 
20, 8.546961, 10.960000, 5.046981, 5.377680, 2.242361, -4.983025, 0.000000, 
20, 8.655372, 10.960000, 5.155392, 5.420534, 2.142701, -4.983025, 0.000000, 
20, 8.764600, 10.960000, 5.264620, 5.461395, 2.043040, -4.983025, 0.000000, 
20, 8.874605, 10.960000, 5.374625, 5.500262, 1.943380, -4.983025, 0.000000, 
20, 8.985348, 10.960000, 5.485368, 5.537137, 1.843719, -4.983025, 0.000000, 
20, 9.096788, 10.960000, 5.596808, 5.572018, 1.744059, -4.983025, 0.000000, 
20, 9.208887, 10.960000, 5.708906, 5.604906, 1.644398, -4.983025, 0.000000, 
20, 9.321603, 10.960000, 5.821622, 5.635801, 1.544738, -4.983025, 0.000000, 
20, 9.434897, 10.960000, 5.934917, 5.664702, 1.445077, -4.983025, 0.000000, 
20, 9.548729, 10.960000, 6.048749, 5.691611, 1.345417, -4.983025, 0.000000, 
20, 9.663059, 10.960000, 6.163079, 5.716526, 1.245756, -4.983025, 0.000000, 
20, 9.777848, 10.960000, 6.277868, 5.739448, 1.146096, -4.983025, 0.000000, 
20, 9.893056, 10.960000, 6.393076, 5.760376, 1.046435, -4.983025, 0.000000, 
20, 10.006957, 10.960006, 6.506977, 5.695064, -3.265626, -215.603059, 0.001664, 
20, 10.101301, 10.961224, 6.601329, 4.717589, -48.873755, -2280.406439, 0.024134, 
