Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 5.327035, 10.960000, 1.827055, 3.240000, 3.000000, -0.000000, 0.000000, 
20, 5.393035, 10.960000, 1.893055, 3.300000, 3.000000, 0.000000, 0.000000, 
20, 5.460235, 10.960000, 1.960255, 3.360000, 3.000000, -0.000000, 0.000000, 
20, 5.528635, 10.960000, 2.028655, 3.420000, 3.000000, -0.000000, 0.000000, 
20, 5.598235, 10.960000, 2.098255, 3.480000, 3.000000, 0.000000, 0.000000, 
20, 5.669035, 10.960000, 2.169055, 3.540000, 3.000000, 0.000000, 0.000000, 
20, 5.741035, 10.960000, 2.241055, 3.600000, 3.000000, 0.000000, 0.000000, 
20, 5.814235, 10.960000, 2.314255, 3.660000, 3.000000, 0.000000, 0.000000, 
20, 5.888635, 10.960000, 2.388655, 3.720000, 3.000000, -0.000000, 0.000000, 
20, 5.964235, 10.960000, 2.464255, 3.780000, 3.000000, 0.000000, 0.000000, 
20, 6.041035, 10.960000, 2.541055, 3.840000, 3.000000, -0.000000, 0.000000, 
20, 6.119035, 10.960000, 2.619055, 3.900000, 3.000000, 0.000000, 0.000000, 
20, 6.198235, 10.960000, 2.698255, 3.960000, 3.000000, 0.000000, 0.000000, 
20, 6.278635, 10.960000, 2.778655, 4.020000, 3.000000, -0.000000, 0.000000, 
20, 6.360235, 10.960000, 2.860255, 4.080000, 3.000000, -0.000000, 0.000000, 
20, 6.443035, 10.960000, 2.943055, 4.140000, 3.000000, 0.000000, 0.000000, 
20, 6.527035, 10.960000, 3.027055, 4.200000, 3.000000, 0.000000, 0.000000, 
20, 6.612235, 10.960000, 3.112255, 4.260000, 3.000000, 0.000000, 0.000000, 
20, 6.698635, 10.960000, 3.198655, 4.320000, 3.000000, -0.000000, 0.000000, 
20, 6.786235, 10.960000, 3.286255, 4.380000, 3.000000, 0.000000, 0.000000, 
20, 6.875035, 10.960000, 3.375055, 4.440000, 3.000000, 0.000000, 0.000000, 
20, 6.965035, 10.960000, 3.465055, 4.500000, 3.000000, -0.000000, 0.000000, 
20, 7.056235, 10.960000, 3.556255, 4.560000, 3.000000, 0.000000, 0.000000, 
20, 7.148635, 10.960000, 3.648655, 4.620000, 3.000000, -0.000000, 0.000000, 
20, 7.242235, 10.960000, 3.742255, 4.680000, 3.000000, 0.000000, 0.000000, 
20, 7.337035, 10.960000, 3.837055, 4.740000, 3.000000, 0.000000, 0.000000, 
20, 7.433035, 10.960000, 3.933055, 4.800000, 3.000000, -0.000000, 0.000000, 
20, 7.530235, 10.960000, 4.030255, 4.860000, 3.000000, 0.000000, 0.000000, 
20, 7.628635, 10.960000, 4.128655, 4.920000, 3.000000, -0.000000, 0.000000, 
20, 7.728235, 10.960000, 4.228255, 4.980000, 3.000000, 0.000000, 0.000000, 
20, 7.829035, 10.960000, 4.329055, 5.040000, 3.000000, 0.000000, 0.000000, 
20, 7.931035, 10.960000, 4.431055, 5.100000, 3.000000, 0.000000, 0.000000, 
20, 8.034215, 10.960000, 4.534235, 5.159000, 2.950000, -2.500000, 0.000000, 
20, 8.138535, 10.960000, 4.638555, 5.216000, 2.850000, -5.000000, 0.000000, 
20, 8.243955, 10.960000, 4.743975, 5.271000, 2.750000, -5.000000, 0.000000, 
20, 8.350435, 10.960000, 4.850455, 5.324000, 2.650000, -5.000000, 0.000000, 
20, 8.457935, 10.960000, 4.957955, 5.375000, 2.550000, -5.000000, 0.000000, 
20, 8.566415, 10.960000, 5.066435, 5.424000, 2.450000, -5.000000, 0.000000, 
20, 8.675835, 10.960000, 5.175855, 5.471000, 2.350000, -5.000000, 0.000000, 
20, 8.786155, 10.960000, 5.286175, 5.516000, 2.250000, -5.000000, 0.000000, 
20, 8.897335, 10.960000, 5.397355, 5.559000, 2.150000, -5.000000, 0.000000, 
20, 9.009335, 10.960000, 5.509355, 5.600000, 2.050000, -5.000000, 0.000000, 
20, 9.122115, 10.960000, 5.622135, 5.639000, 1.950000, -5.000000, 0.000000, 
20, 9.235635, 10.960000, 5.735655, 5.676000, 1.850000, -5.000000, 0.000000, 
20, 9.349855, 10.960000, 5.849875, 5.711000, 1.750000, -5.000000, 0.000000, 
20, 9.464735, 10.960000, 5.964755, 5.744000, 1.650000, -5.000000, 0.000000, 
20, 9.580235, 10.960000, 6.080255, 5.775000, 1.550000, -5.000000, 0.000000, 
20, 9.696315, 10.960000, 6.196335, 5.804000, 1.450000, -5.000000, 0.000000, 
20, 9.812935, 10.960000, 6.312955, 5.831000, 1.350000, -5.000000, 0.000000, 
20, 9.930055, 10.960000, 6.430075, 5.856000, 1.250000, -5.000000, 0.000000, 
20, 10.057414, 10.959705, 6.557435, 6.367979, 25.598961, 1217.448044, 6.272902, 
20, 10.199890, 10.956420, 6.699948, 7.125656, 37.883854, 614.244653, 6.247364, 
20, 10.342654, 10.949474, 6.842881, 7.146681, 1.051217, -1841.631833, 6.221783, 
20, 10.485486, 10.938859, 6.986107, 7.161296, 0.730781, -16.021802, 6.196252, 
20, 10.628164, 10.924595, 7.129496, 7.169431, 0.406741, -16.202018, 6.170864, 
20, 10.770468, 10.906725, 7.272918, 7.171091, 0.082988, -16.187660, 6.145712, 
20, 10.912187, 10.885319, 7.416245, 7.166359, -0.236591, -15.978954, 6.120889, 
20, 11.053121, 10.860468, 7.559353, 7.155393, -0.548296, -15.585221, 6.096481, 
20, 11.193080, 10.832287, 7.702121, 7.138418, -0.848770, -15.023709, 6.072573, 
20, 11.331892, 10.800907, 7.844435, 7.115715, -1.135137, -14.318342, 6.049242, 
20, 11.469400, 10.766478, 7.986188, 7.087613, -1.405094, -13.497882, 6.026560, 
20, 11.605465, 10.729163, 8.127277, 7.054474, -1.656968, -12.593702, 6.004588, 
20, 11.739991, 10.689128, 8.267634, 7.017846, -1.831404, -8.721773, 5.983381, 
20, 11.872920, 10.646537, 8.407219, 6.979253, -1.929624, -4.910993, 5.962977, 
20, 12.004210, 10.601560, 8.546000, 6.939028, -2.011242, -4.080914, 5.943411, 
20, 12.133835, 10.554362, 8.683949, 6.897488, -2.077037, -3.289754, 5.924712, 
20, 12.261782, 10.505112, 8.821048, 6.854926, -2.128080, -2.552119, 5.906899, 
20, 12.388051, 10.453973, 8.957280, 6.811613, -2.165653, -1.878654, 5.889989, 
20, 12.512655, 10.401105, 9.092636, 6.767789, -2.191178, -1.276273, 5.873991, 
20, 12.635616, 10.346666, 9.227109, 6.723666, -2.206149, -0.748557, 5.858914, 
20, 12.756965, 10.290804, 9.360698, 6.679425, -2.212075, -0.296268, 5.844758, 
20, 12.876738, 10.233667, 9.493402, 6.635216, -2.210432, 0.082112, 5.831523, 
20, 12.994982, 10.175394, 9.625225, 6.591164, -2.202635, 0.389848, 5.819206, 
20, 13.111745, 10.116119, 9.756173, 6.547363, -2.190007, 0.631418, 5.807802, 
20, 13.227082, 10.055970, 9.886250, 6.503888, -2.173764, 0.812144, 5.797304, 
20, 13.341047, 9.995073, 10.015466, 6.460788, -2.155009, 0.937741, 5.787704, 
20, 13.453701, 9.933543, 10.143828, 6.418093, -2.134727, 1.014111, 5.778993, 
20, 13.565104, 9.871496, 10.271344, 6.375818, -2.113786, 1.047064, 5.771163, 
20, 13.675316, 9.809039, 10.398024, 6.333959, -2.092942, 1.042195, 5.764205, 
20, 13.784400, 9.746278, 10.523874, 6.292502, -2.072847, 1.004768, 5.758111, 
20, 13.892417, 9.683314, 10.648902, 6.251421, -2.054053, 0.939670, 5.752873, 
20, 13.999427, 9.620244, 10.773116, 6.210680, -2.037026, 0.851368, 5.748484, 
20, 14.105491, 9.557163, 10.896520, 6.170237, -2.022147, 0.743955, 5.744937, 
20, 14.210668, 9.494164, 11.019121, 6.130043, -2.009724, 0.621123, 5.742228, 
20, 14.315014, 9.431337, 11.140922, 6.090043, -1.999999, 0.486258, 5.740352, 
20, 14.418586, 9.368770, 11.261926, 6.050180, -1.993150, 0.342454, 5.739307, 
20, 14.521438, 9.306549, 11.382134, 6.010394, -1.989298, 0.192593, 5.739090, 
20, 14.623622, 9.244760, 11.501546, 5.970624, -1.988510, 0.039402, 5.739702, 
20, 14.725187, 9.183487, 11.620162, 5.930808, -1.990800, -0.114479, 5.741144, 
20, 14.826181, 9.122814, 11.737980, 5.890885, -1.996128, -0.266427, 5.743417, 
20, 14.926649, 9.062825, 11.854996, 5.850797, -2.004404, -0.413768, 5.746525, 
20, 15.026635, 9.003600, 11.971206, 5.810488, -2.015478, -0.553711, 5.750473, 
20, 15.126179, 8.945224, 12.086604, 5.769905, -2.029143, -0.683277, 5.755267, 
20, 15.225318, 8.887778, 12.201184, 5.729002, -2.045128, -0.799241, 5.760913, 
20, 15.324087, 8.831345, 12.314939, 5.687740, -2.063090, -0.898074, 5.767418, 
20, 15.422520, 8.776006, 12.427860, 5.646088, -2.082608, -0.975892, 5.774791, 
20, 15.520645, 8.721845, 12.539941, 5.604025, -2.103176, -1.028432, 5.783040, 
20, 15.618490, 8.668942, 12.651172, 5.561541, -2.124196, -1.051016, 5.792174, 
20, 15.716079, 8.617380, 12.761544, 5.518641, -2.144968, -1.038564, 5.802202, 
20, 15.813432, 8.567240, 12.871051, 5.475348, -2.164681, -0.985655, 5.813132, 
20, 15.910570, 8.518602, 12.979685, 5.431700, -2.182412, -0.886553, 5.824970, 
